Particpant Number: 33, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 5
Particpant Number: 33, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 33, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 33, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 17
Particpant Number: 33, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 9
Particpant Number: 33, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 5
Particpant Number: 33, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 34, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 9
Particpant Number: 34, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 5
Particpant Number: 34, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 34, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 34, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 17
Particpant Number: 34, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 9
Particpant Number: 34, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 5
Particpant Number: 34, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 35, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 9
Particpant Number: 35, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 5
Particpant Number: 35, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 35, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 35, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 18
Particpant Number: 35, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 9
Particpant Number: 35, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 5
Particpant Number: 35, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 36, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 9
Particpant Number: 36, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 5
Particpant Number: 36, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 36, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 36, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 18
Particpant Number: 36, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 9
Particpant Number: 36, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 5
Particpant Number: 36, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 37, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 10
Particpant Number: 37, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 5
Particpant Number: 37, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 37, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 37, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 19
Particpant Number: 37, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 10
Particpant Number: 37, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 5
Particpant Number: 37, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 38, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 10
Particpant Number: 38, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 5
Particpant Number: 38, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 38, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 38, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 19
Particpant Number: 38, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 10
Particpant Number: 38, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 5
Particpant Number: 38, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 39, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 10
Particpant Number: 39, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 5
Particpant Number: 39, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 39, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 39, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 20
Particpant Number: 39, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 10
Particpant Number: 39, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 5
Particpant Number: 39, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 40, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 10
Particpant Number: 40, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 5
Particpant Number: 40, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 40, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 40, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 20
Particpant Number: 40, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 10
Particpant Number: 40, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 5
Particpant Number: 40, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 41, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 11
Particpant Number: 41, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 6
Particpant Number: 41, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 41, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 41, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 21
Particpant Number: 41, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 11
Particpant Number: 41, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 6
Particpant Number: 41, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 42, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 11
Particpant Number: 42, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 6
Particpant Number: 42, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 42, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 42, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 21
Particpant Number: 42, player per group: 4, knockoutstart number: 16, GroupNumber: 4, GroupSize: 11
Particpant Number: 42, player per group: 4, knockoutstart number: 32, GroupNumber: 8, GroupSize: 6
Particpant Number: 42, player per group: 4, knockoutstart number: 64, GroupNumber: 16, GroupSize: 3
Particpant Number: 43, player per group: 2, knockoutstart number: 8, GroupNumber: 4, GroupSize: 11
Particpant Number: 43, player per group: 2, knockoutstart number: 16, GroupNumber: 8, GroupSize: 6
Particpant Number: 43, player per group: 2, knockoutstart number: 32, GroupNumber: 16, GroupSize: 3
Particpant Number: 43, player per group: 2, knockoutstart number: 64, GroupNumber: 32, GroupSize: 2
Particpant Number: 43, player per group: 4, knockoutstart number: 8, GroupNumber: 2, GroupSize: 22
